,000016.SH,000016.SH,000016.SH,000300.SH,000300.SH,000300.SH,000905.SH,000905.SH,000905.SH,000852.SH,000852.SH,000852.SH
,open,close,volume,open,close,volume,open,close,volume,open,close,volume
date,,,,,,,,,,,,
2005/10/27,747.505,751.261,538031200,873.472,875.849,1190858800,851.081,847.593,810393716,848.861,837.336,210894305
2005/10/28,751.21,749.964,504593200,875.862,867.729,1197337600,846.702,825.063,866896692,839.368,806.557,208081500
2005/10/31,749.192,759.239,486388900,866.618,876.282,1044365100,823.233,828.659,649257458,803.012,812.452,161259021
2005/11/1,758.268,757.053,342356700,875.956,872.865,1008274500,827.894,823.328,694423972,810.971,804.35,172326544
2005/11/2,757.927,762.938,461265600,873.393,882.478,1310497300,823.206,840.316,909599265,804.153,826.51,225145831
2005/11/3,763.06,755.777,495662600,882.189,874.575,1217918200,839.858,828.906,755962393,826.037,818.951,192594095
2005/11/4,755.543,758.924,333720800,873.353,878.361,956731000,828.04,835.122,644961044,818.207,826.766,167460237
2005/11/7,758.45,754.201,273829800,877.617,877.278,771325900,835.063,842.002,613296312,827.48,837.67,159663654
2005/11/8,753.323,758.322,353818200,876.432,881.524,1012876100,841.929,848.965,729783834,837.899,846.564,179577827
2005/11/9,758.505,756.171,468470000,881.513,879.252,1177440500,848.741,845.11,761274661,847.166,842.774,216839415
2005/11/10,756.21,746.352,390146300,878.625,862.968,1085377100,843.62,821.269,843958006,841.52,816.009,237513179
2005/11/11,745.173,746.45,313211300,861.221,864.79,921972000,818.717,823.956,638009394,814.293,822.673,174733831
2005/11/14,746.057,743.345,190915600,864.081,862.149,627167400,821.782,827.569,446843616,820.643,827.478,138495516
2005/11/15,743.366,739.234,285656200,862.067,856.635,825247800,827.516,820.491,587161567,827.423,821.064,153396210
2005/11/16,739.069,744.138,310162200,855.449,863.119,906613800,820.066,826.692,554222441,820.294,827.588,139152137
2005/11/17,743.8,743.799,291839900,863.077,862.658,881163700,827.218,825.797,553381628,827.171,828.645,142782245
2005/11/18,743.926,760.566,670200900,862.579,882.241,1759780300,824.804,843.738,969075674,827.198,848.778,266133372
2005/11/21,758.234,758.555,465111000,882.79,883.871,1025996300,844.629,846.958,660867737,851.655,855.432,193701052
2005/11/22,758.42,747.307,491024600,883.931,869.617,1059723600,847.182,831.771,627509055,854.888,833.585,177517164
